kpn,parent_kpn
KPN982,KPN878
KPN983,KPN641
KPN984,KPN685
KPN985,KPN586
KPN986,KPN688
KPN987,KPN593
KPN988,KPN677
KPN989,KPN775
KPN990,KPN872
KPN991,KPN878
KPN992,KPN593
KPN993,KPN873
KPN994,KPN709
KPN995,KPN673
KPN996,KPN872
KPN997,KPN683
KPN998,KPN676
KPN999,KPN683
KPN1000,KPN676
KPN1001,KPN642
KPN1002,KPN683
KPN1003,KPN825
KPN1004,KPN780
KPN1005,KPN825
KPN1006,KPN683
KPN1007,KPN642
KPN1008,KPN538
KPN1009,KPN642
KPN1010,KPN586
KPN1011,KPN825
KPN1012,KPN586
KPN1013,KPN593
KPN1014,KPN825
KPN1015,KPN780
KPN1016,KPN683
KPN1017,KPN676
KPN1018,KPN673
KPN1019,KPN841
KPN1020,KPN885
KPN1021,KPN825
KPN1022,KPN825
KPN1023,KPN870
KPN1024,KPN841
KPN1025,KPN842
KPN1026,KPN614
KPN1027,KPN828
KPN1028,KPN809
KPN1029,KPN809
KPN1030,KPN683
KPN1031,KPN683
KPN1032,KPN593
KPN1033,KPN809
KPN1034,KPN730
KPN1035,KPN683
KPN1036,KPN689
KPN1037,KPN676
KPN1038,KPN676
KPN1039,KPN712
KPN1040,KPN676
KPN1041,KPN708
KPN1042,KPN825
KPN1043,KPN712
KPN1044,KPN712
KPN1045,KPN673
KPN1046,KPN730
KPN1047,KPN730
KPN1048,KPN730
KPN1049,KPN676
KPN1050,KPN683
KPN1051,KPN676
KPN1052,KPN757
KPN1053,KPN683
KPN1054,KPN908
KPN1055,KPN887
KPN1056,KPN709
KPN1057,KPN725
KPN1058,KPN683
KPN1059,KPN676
KPN1060,KPN938
KPN1061,KPN938
KPN1062,KPN938
KPN1063,KPN938
KPN1064,KPN768
KPN1065,KPN938
KPN1066,KPN709
KPN1067,KPN689
KPN1068,KPN769
KPN1069,KPN757
KPN1070,KPN926
KPN1071,KPN683
KPN1072,KPN683
KPN1073,KPN676
KPN1074,KPN757
KPN1075,KPN927
KPN1076,KPN757
KPN1077,KPN769
KPN1078,KPN677
KPN1079,KPN688
KPN1080,KPN768
KPN1081,KPN757
KPN1082,KPN699
KPN1083,KPN725
KPN1084,KPN725
KPN1085,KPN712
KPN1086,KPN709
KPN1087,KPN937
KPN1088,KPN953
KPN1089,KPN658
KPN1090,KPN953
KPN1091,KPN933
KPN1092,KPN953
KPN1093,KPN750
KPN1094,KPN933
KPN1095,KPN658
KPN1096,KPN668
KPN1097,KPN953
KPN1098,KPN959
KPN1099,KPN758
KPN1100,KPN768
KPN1101,KPN768
KPN1102,KPN752
KPN1103,KPN771
KPN1104,KPN750
KPN1105,KPN959
KPN1106,KPN750
KPN1107,KPN641
KPN1108,KPN641
KPN1109,KPN959
KPN1110,KPN768
KPN1111,KPN723
KPN1112,KPN881
KPN1113,KPN750
KPN1114,KPN744
KPN1115,KPN677
KPN1116,KPN673
KPN1117,KPN758
KPN1118,KPN769
KPN1119,KPN757
KPN1120,KPN769
KPN1121,KPN952
KPN1122,KPN828
KPN1123,KPN950
KPN1124,KPN872
KPN1125,KPN865
KPN1126,KPN802
KPN1127,KPN865
KPN1128,KPN865
KPN1129,KPN768
KPN1130,KPN789
KPN1131,KPN986
KPN1132,KPN709
KPN1133,KPN789
KPN1134,KPN864
KPN1135,KPN864
KPN1136,KPN789
KPN1137,KPN986
KPN1138,KPN712
KPN1139,KPN709
KPN1140,KPN829
KPN1141,KPN829
KPN1142,KPN986
KPN1143,KPN758
KPN1144,KPN864
KPN1145,KPN768
KPN1146,KPN758
KPN1147,KPN864
KPN1148,KPN864
KPN1149,KPN712
KPN1150,KPN789
KPN1151,KPN744
KPN1152,KPN829
KPN1153,KPN775
KPN1154,KPN802
KPN1155,KPN802
KPN1156,KPN953
KPN1157,KPN953
KPN1158,KPN960
KPN1159,KPN960
KPN1160,KPN841
KPN1161,KPN709
KPN1162,KPN712
KPN1163,KPN955
KPN1164,KPN866
KPN1165,KPN866
KPN1166,KPN863
KPN1167,KPN828
KPN1168,KPN960
KPN1169,KPN866
KPN1170,KPN960
KPN1171,KPN866
KPN1172,KPN937
KPN1173,KPN828
KPN1174,KPN802
KPN1175,KPN768
KPN1176,KPN802
KPN1177,KPN802
KPN1178,KPN802
KPN1179,KPN828
KPN1180,KPN802
KPN1181,KPN926
KPN1182,KPN828
KPN1183,KPN828
KPN1184,KPN863
KPN1185,KPN926
KPN1186,KPN955
KPN1187,KPN829
KPN1188,KPN866
KPN1189,KPN829
KPN1190,KPN841
KPN1191,KPN864
KPN1192,KPN1035
KPN1193,KPN937
KPN1194,KPN1006
KPN1195,KPN960
KPN1196,KPN768
KPN1197,KPN872
KPN1198,KPN828
KPN1199,KPN887
KPN1200,KPN973
KPN1201,KPN775
KPN1202,KPN768
KPN1203,KPN984
KPN1204,KPN841
KPN1205,KPN866
KPN1206,KPN841
KPN1207,KPN802
KPN1208,KPN768
KPN1209,KPN866
KPN1210,KPN802
KPN1211,KPN949
KPN1212,KPN872
KPN1213,KPN984
KPN1214,KPN775
KPN1215,KPN959
KPN1216,KPN828
KPN1217,KPN872
KPN1218,KPN828
KPN1219,KPN802
KPN1220,KPN831
KPN1221,KPN872
KPN1222,KPN802
KPN1223,KPN908
KPN1224,KPN901
KPN1225,KPN1081
KPN1226,KPN1081
KPN1227,KPN866
KPN1228,KPN1053
KPN1229,KPN1064
KPN1230,KPN802
KPN1231,KPN864
KPN1232,KPN1053
KPN1233,KPN802
KPN1234,KPN783
KPN1235,KPN1016
KPN1236,KPN828
KPN1237,KPN828
KPN1238,KPN1008
KPN1239,KPN933
KPN1240,KPN1017
KPN1241,KPN829
KPN1242,KPN841
KPN1243,KPN872
KPN1244,KPN802
KPN1245,KPN802
KPN1246,KPN1008
KPN1247,KPN872
KPN1248,KPN901
KPN1249,KPN872
KPN1250,KPN1017
KPN1251,KPN866
KPN1252,KPN802
KPN1253,KPN1017
KPN1254,KPN789
KPN1255,KPN993
KPN1256,KPN866
KPN1257,KPN866
KPN1258,KPN949
KPN1259,KPN1051
KPN1260,KPN1049
KPN1261,KPN905
KPN1262,KPN1049
KPN1263,KPN919
KPN1264,KPN829
KPN1265,KPN1035
KPN1266,KPN887
KPN1267,KPN872
KPN1268,KPN919
KPN1269,KPN872
KPN1270,KPN1049
KPN1271,KPN1049
KPN1272,KPN1035
KPN1273,KPN887
KPN1274,KPN1035
KPN1275,KPN872
KPN1276,KPN1049
KPN1277,KPN887
KPN1278,KPN1035
KPN1279,KPN1035
KPN1280,KPN1051
KPN1281,KPN1051
KPN1282,KPN828
KPN1283,KPN1029
KPN1284,KPN919
KPN1285,KPN872
KPN1286,KPN829
KPN1287,KPN919
KPN1288,KPN872
KPN1289,KPN919
KPN1290,KPN841
KPN1291,KPN887
KPN1292,KPN958
KPN1293,KPN926
KPN1294,KPN911
KPN1295,KPN1064
KPN1296,KPN950
KPN1297,KPN1061
KPN1298,KPN958
KPN1299,KPN1064
KPN1300,KPN986
KPN1301,KPN1081
KPN1302,KPN950
KPN1303,KPN872
KPN1304,KPN950
KPN1305,KPN950
KPN1306,KPN802
KPN1307,KPN958
KPN1308,KPN983
KPN1309,KPN1081
KPN1310,KPN1016
KPN1311,KPN1081
KPN1312,KPN802
KPN1313,KPN802
KPN1314,KPN1062
KPN1315,KPN1081
KPN1316,KPN1064
KPN1317,KPN887
KPN1318,KPN1024
KPN1319,KPN872
KPN1320,KPN1081
KPN1321,KPN872
KPN1322,KPN872
KPN1323,KPN872
KPN1324,KPN950
KPN1325,KPN1087
KPN1326,KPN1154
KPN1327,KPN866
KPN1328,KPN1087
KPN1329,KPN920
KPN1330,KPN976
KPN1331,KPN976
KPN1332,KPN950
KPN1333,KPN944
KPN1334,KPN1101
KPN1335,KPN984
KPN1336,KPN944
KPN1337,KPN950
KPN1338,KPN984
KPN1339,KPN1101
KPN1340,KPN1145
KPN1341,KPN980
KPN1342,KPN1112
KPN1343,KPN1137
KPN1344,KPN975
KPN1345,KPN1087
KPN1346,KPN1101
KPN1347,KPN905
KPN1348,KPN976
KPN1349,KPN1124
KPN1350,KPN1112
KPN1351,KPN1101
KPN1352,KPN980
KPN1353,KPN912
KPN1354,KPN944
KPN1355,KPN950
KPN1356,KPN1112
KPN1357,KPN920
KPN1358,KPN976
KPN1359,KPN950
KPN1360,KPN872
